prix,titre,lieu,surface,ville_scrape,ville
6800000,Magnifique villa à vendre à Polo en résidence. 6 grandes pi...,Magnifique villa à vendre à Polo en résidence. 6 grandes pi...,420.0,casablanca,Casablanca
1600000,Appartement haut standing au cœur du centre ville,Appartement haut standing au cœur du centre ville,111.0,casablanca,Casablanca
1250000,Superbe Appartement 125 m2 Bourgone Opportunité Rare,Superbe Appartement 125 m2 Bourgone Opportunité Rare,125.0,casablanca,Casablanca
2600000,Appartement 186 mètres 3 chambres Racine,Appartement 186 mètres 3 chambres Racine,186.0,casablanca,Casablanca
1950000,Joli Duplex au dernier étage / belle residence,Joli Duplex au dernier étage / belle residence,134.0,casablanca,Casablanca
4000000,Duplex 4 chambres avec jardin privé,Duplex 4 chambres avec jardin privé,248.0,casablanca,Casablanca
1650000,"Gauthier, 3 ch. Grande Terrasse ensoleillée","Gauthier, 3 ch. Grande Terrasse ensoleillée",118.0,casablanca,Casablanca
5000000,Superbe appartement à vendre à Anfa. 3 pièces confortables...,Superbe appartement à vendre à Anfa. 3 pièces confortables...,189.0,casablanca,Casablanca
880000,Appartement à l'achat à Bournazil. Surface totale 80 m²,Appartement à l'achat à Bournazil. Surface totale 80 m²,80.0,casablanca,Casablanca
5500000,Somptueuse maison à vendre à Ain Diab Extension,Somptueuse maison à vendre à Ain Diab Extension,230.0,casablanca,Casablanca
1550000,Appartement a vendre neuf maarif ext,Appartement a vendre neuf maarif ext,79.0,casablanca,Casablanca
2200000,Palmier. Appartement. 140m2. Avec terrasse et ascenseur,Palmier. Appartement. 140m2. Avec terrasse et ascenseur,140.0,casablanca,Casablanca
3100000,A vendre un bel appartement,A vendre un bel appartement,199.0,casablanca,Casablanca
1400000,Appt 85m2 entièrement rénové orientation Sud,Appt 85m2 entièrement rénové orientation Sud,85.0,casablanca,Casablanca
1150000,Studios haut standing neuf entre 40 et 60 m2,Studios haut standing neuf entre 40 et 60 m2,40.0,casablanca,Casablanca
1400000,Appartement à vendre à Californie. 2 belles chambres,Appartement à vendre à Californie. 2 belles chambres,86.0,casablanca,Casablanca
1211260,Nouvelle Résidence Nozha Ain Sebaâ _ Appartement 2 chambres,Nouvelle Résidence Nozha Ain Sebaâ _ Appartement 2 chambres,93.0,casablanca,Casablanca
650000,Appartement à vendre. Surface de 85 m²,Appartement à vendre. Surface de 85 m²,85.0,casablanca,Casablanca
3100000,Appartement à vendre à Ain Diab Extension. 3 belles chambres,Appartement à vendre à Ain Diab Extension. 3 belles chambres,217.0,casablanca,Casablanca
840000,Vente d'un bel appartement à Aïn Sebaâ. 2 belles chambres te...,Vente d'un bel appartement à Aïn Sebaâ. 2 belles chambres te...,79.0,casablanca,Casablanca
3400000,Habit immobilier met en vente un appartement villa de 4 cham...,Habit immobilier met en vente un appartement villa de 4 cham...,274.0,casablanca,Casablanca
2580000,Habit immobilier met en vente un joli appartement,Habit immobilier met en vente un joli appartement,132.0,casablanca,Casablanca
2500000,Habit immobilier met en vente un joli appartement,Habit immobilier met en vente un joli appartement,132.0,casablanca,Casablanca
1650000,A vendre un joli appartement vide avec terrasse,A vendre un joli appartement vide avec terrasse,117.0,casablanca,Casablanca
3000000,A vendre un joli appartement,A vendre un joli appartement,202.0,casablanca,Casablanca
1180000,Vente d'un bel appartement à Bourgogne Ouest. 2 pièces confo...,Vente d'un bel appartement à Bourgogne Ouest. 2 pièces confo...,52.0,casablanca,Casablanca
1200000,Superbe appartement à vendre à Les princesses. 1 belle chamb...,Superbe appartement à vendre à Les princesses. 1 belle chamb...,50.0,casablanca,Casablanca
1350000,Bel appartement à vendre à Bourgogne Ouest. 1 belle chambre...,Bel appartement à vendre à Bourgogne Ouest. 1 belle chambre...,56.0,casablanca,Casablanca
2850000,Appartement en vente à Maârif Extension. Surface de 177 m²...,Appartement en vente à Maârif Extension. Surface de 177 m²...,177.0,casablanca,Casablanca
15000000,Maison de luxe à vendre à Californie à 200 mètres de l’école...,Maison de luxe à vendre à Californie à 200 mètres de l’école...,850.0,casablanca,Casablanca
1050000,Appartement neuf à vendre Les Jardins de Bali à Quartier Bac...,Appartement neuf à vendre Les Jardins de Bali à Quartier Bac...,60.0,casablanca,Casablanca
1100000,Appartements Neufs haut standing à Ain Sebaa,Appartements Neufs haut standing à Ain Sebaa,250.0,casablanca,Casablanca
630000,Appartement à vendre,Appartement à vendre,59.0,casablanca,Casablanca
870000,Appartement 127m2 salmiya 2 facade,Appartement 127m2 salmiya 2 facade,127.0,casablanca,Casablanca
1150000,Vente studio neuf et lumineux quartier Riviera,Vente studio neuf et lumineux quartier Riviera,49.0,casablanca,Casablanca
2740000,Vend appartement à Maârif Extension. Surface totale 117 m²,Vend appartement à Maârif Extension. Surface totale 117 m²,117.0,casablanca,Casablanca
15000000,Villa Commerciale de 627 m2 à Bd Dris Slaoui,Villa Commerciale de 627 m2 à Bd Dris Slaoui,627.0,casablanca,Casablanca
3100000,Superbe appartement à vendre à Ain Diab Extension. Surface t...,Superbe appartement à vendre à Ain Diab Extension. Surface t...,217.0,casablanca,Casablanca
4600000,Vend appartement à Anfa. 2 belles chambres. Prestation de co...,Vend appartement à Anfa. 2 belles chambres. Prestation de co...,169.0,casablanca,Casablanca
1827000,Appartement en vente à Bournazil. Surface de 174 m²,Appartement en vente à Bournazil. Surface de 174 m²,174.0,casablanca,Casablanca
5500000,Superbe villa à vendre à Ain diab Extension,Superbe villa à vendre à Ain diab Extension,257.0,casablanca,Casablanca
7000000,A vendre villa a californie,A vendre villa a californie,440.0,casablanca,Casablanca
1070000,Vend appartement à Oasis. 1 chambre. Chauffage central et...,Vend appartement à Oasis. 1 chambre. Chauffage central et...,55.0,casablanca,Casablanca
1200000,Studio Haut Standing a vendre les princesses,Studio Haut Standing a vendre les princesses,55.0,casablanca,Casablanca
970000,"Vente Appart 86 m2 à Hay INARA 1, proximité 2 Mars","Vente Appart 86 m2 à Hay INARA 1, proximité 2 Mars",86.0,casablanca,Casablanca
770000,Appartement de charme à Roche Noire,Appartement de charme à Roche Noire,75.0,casablanca,Casablanca
1400000,Bel appartement à vendre à Californie. Superficie 101 m²,Bel appartement à vendre à Californie. Superficie 101 m²,101.0,casablanca,Casablanca
998705,Appartement à vendre à Nozha Aïn Sebaâ. Surface totale 70 m²,Appartement à vendre à Nozha Aïn Sebaâ. Surface totale 70 m²,70.0,casablanca,Casablanca
660000,Appartement à vendre à Sidi Moumen. 87m²,Appartement à vendre à Sidi Moumen. 87m²,87.0,casablanca,Casablanca
3550000,Superbe appartement à vendre à Ain Diab Extension. Surface t...,Superbe appartement à vendre à Ain Diab Extension. Surface t...,270.0,casablanca,Casablanca
850000,Appartement à VENDRE à Aïn Sebaâ. Surface totale 75m²14m² de...,Appartement à VENDRE à Aïn Sebaâ. Surface totale 75m²14m² de...,75.0,casablanca,Casablanca
970000,Appartement en vente à Casablanca Finance City. 1 Pièce. Ant...,Appartement en vente à Casablanca Finance City. 1 Pièce. Ant...,42.0,casablanca,Casablanca
15000000,Vente villa de luxe à Californie. Surface de 1050 m². Syst...,Vente villa de luxe à Californie. Surface de 1050 m². Syst...,1050.0,casablanca,Casablanca
1475000,Magnifique appartement haut standing de 97 m² à vendre – Val...,Magnifique appartement haut standing de 97 m² à vendre – Val...,97.0,casablanca,Casablanca
2000000,Burger 206 m² 3ch 2sdb terrasse prix sacrifié,Burger 206 m² 3ch 2sdb terrasse prix sacrifié,206.0,casablanca,Casablanca
36000000,Villa au coeur d’Anfa supérieur,Villa au coeur d’Anfa supérieur,1000.0,casablanca,Casablanca
21000000,Belle Villa sur ANFA 1100 mètres,Belle Villa sur ANFA 1100 mètres,1100.0,casablanca,Casablanca
45000000,Anfa Supérieur imposante Villa 1550 mètres,Anfa Supérieur imposante Villa 1550 mètres,1550.0,casablanca,Casablanca
3900000,Appartement à vendre à Racine. Surface de 231 m². Avec asc...,Appartement à vendre à Racine. Surface de 231 m². Avec asc...,231.0,casablanca,Casablanca
870000,Studio à vendre Mers Sultan d'une superficie 43m2,Studio à vendre Mers Sultan d'une superficie 43m2,43.0,casablanca,Casablanca
9800000,Villa de 1055 m2 TRES BONNE AFFAIRE,Villa de 1055 m2 TRES BONNE AFFAIRE,1055.0,casablanca,Casablanca
1570000,Vente d'un bel appartement à Maârif Extension. 2 belles cham...,Vente d'un bel appartement à Maârif Extension. 2 belles cham...,84.0,casablanca,Casablanca
770000,Bel appartement à vendre à Roches Noires. Surface de 49 m²...,Bel appartement à vendre à Roches Noires. Surface de 49 m²...,49.0,casablanca,Casablanca
17000000,Villa de 961 m2 à ZOM ANFA,Villa de 961 m2 à ZOM ANFA,961.0,casablanca,Casablanca
2150000,Vente Appartement à palmier,Vente Appartement à palmier,125.0,casablanca,Casablanca
600000,Vente Appartement à Errahma,Vente Appartement à Errahma,73.0,casablanca,Casablanca
9500000,Villa de 589m² à EL MANAR A SAISIR,Villa de 589m² à EL MANAR A SAISIR,589.0,casablanca,Casablanca
4100000,Bel appartement à vendre à Anfa. Surface totale 159 m²,Bel appartement à vendre à Anfa. Surface totale 159 m²,159.0,casablanca,Casablanca
1954000,Bel appartement à vendre à Bournazil. 3 chambres agréables,Bel appartement à vendre à Bournazil. 3 chambres agréables,174.0,casablanca,Casablanca
6000000,Splendide villa à vendre à Ain diab Extension,Splendide villa à vendre à Ain diab Extension,413.0,casablanca,Casablanca
5000000,Appartement d'exception en étage élevé,Appartement d'exception en étage élevé,161.0,casablanca,Casablanca
1640000,Appartement premium a saisir,Appartement premium a saisir,75.0,casablanca,Casablanca
1150000,Studio premium à saisir,Studio premium à saisir,51.0,casablanca,Casablanca
1125000,Studio premium à saisir,Studio premium à saisir,45.0,casablanca,Casablanca
1250000,Studio premium à saisir,Studio premium à saisir,50.0,casablanca,Casablanca
1398500,Appartement en vente à Californie. 3 chambres,Appartement en vente à Californie. 3 chambres,82.0,casablanca,Casablanca
990641,Appartement moderne à Nozha Aïn Sebaâ. Superficie 88 m²,Appartement moderne à Nozha Aïn Sebaâ. Superficie 88 m²,88.0,casablanca,Casablanca
735000,Appartement à vendre à Sidi Moumen. Superficie 100 m²,Appartement à vendre à Sidi Moumen. Superficie 100 m²,100.0,casablanca,Casablanca
2800000,Vente d'un bel appartement à Ain Diab Extension. Surface tot...,Vente d'un bel appartement à Ain Diab Extension. Surface tot...,204.0,casablanca,Casablanca
980000,Appartement à vendre à Aïn Sebaâ. 3 chambres agréables,Appartement à vendre à Aïn Sebaâ. 3 chambres agréables,98.0,casablanca,Casablanca
1350000,Studio premium à sasir,Studio premium à sasir,56.0,casablanca,Casablanca
1320000,Studio premium avec terrasse,Studio premium avec terrasse,94.0,casablanca,Casablanca
1130000,Studio premium à saisir,Studio premium à saisir,50.0,casablanca,Casablanca
1430000,Studio premium à saisir,Studio premium à saisir,58.0,casablanca,Casablanca
900000,Studio premium à saisir,Studio premium à saisir,42.0,casablanca,Casablanca
1770000,Appartement premium a saisir,Appartement premium a saisir,76.0,casablanca,Casablanca
1200000,Studio premium avec terrasse,Studio premium avec terrasse,70.0,casablanca,Casablanca
1220000,Studio premium à saisir sans vis a vis,Studio premium à saisir sans vis a vis,65.0,casablanca,Casablanca
1120000,Studio premium a saisir,Studio premium a saisir,50.0,casablanca,Casablanca
1380000,Duplex premium à saisir,Duplex premium à saisir,88.0,casablanca,Casablanca
22000000,Villa Commerciale de 1800 m2 à Bd Panoramique,Villa Commerciale de 1800 m2 à Bd Panoramique,1800.0,casablanca,Casablanca
830000,Très bel appartement 83 m2,Très bel appartement 83 m2,83.0,casablanca,Casablanca
1250000,Vente d'un bel appartement à Palmier. 1 chambre. Double vi...,Vente d'un bel appartement à Palmier. 1 chambre. Double vi...,80.0,casablanca,Casablanca
1200000,Superbe appartement à vendre à Anfa,Superbe appartement à vendre à Anfa,58.0,casablanca,Casablanca
980000,Superbe appartement à vendre à Les princesses. Surface total...,Superbe appartement à vendre à Les princesses. Surface total...,45.0,casablanca,Casablanca
11500000,Villa de 1422 m2 à Californie TRES BONNE AFFAIRE,Villa de 1422 m2 à Californie TRES BONNE AFFAIRE,1422.0,casablanca,Casablanca
12000000,Villa de 619 m2 à ZOM ANFA,Villa de 619 m2 à ZOM ANFA,619.0,casablanca,Casablanca
3500000,Vente d'un bel appartement au quartiers Californie,Vente d'un bel appartement au quartiers Californie,237.0,casablanca,Casablanca
4100000,Appartement en vente à Anfa. Superficie 159 m²,Appartement en vente à Anfa. Superficie 159 m²,159.0,casablanca,Casablanca
887000,Vente d'un bel appartement à Bournazil. 3 chambres,Vente d'un bel appartement à Bournazil. 3 chambres,77.0,casablanca,Casablanca
6000000,Maison de luxe à vendre. Surface totale 400 m²,Maison de luxe à vendre. Surface totale 400 m²,400.0,casablanca,Casablanca
1300000,Studio premium à saisir,Studio premium à saisir,51.0,casablanca,Casablanca
1370000,Studio premium à saisir,Studio premium à saisir,57.0,casablanca,Casablanca
1350000,Studio premium à saisir,Studio premium à saisir,57.0,casablanca,Casablanca
1200000,Studio premium à saisir,Studio premium à saisir,56.0,casablanca,Casablanca
1250000,Duplex premium à saisir,Duplex premium à saisir,65.0,casablanca,Casablanca
1700000,Appartement en vente à Californie. 3 chambres,Appartement en vente à Californie. 3 chambres,127.0,casablanca,Casablanca
1006770,Appartement à l'achat à Nozha Aïn Sebaâ. Surface de 88 m²,Appartement à l'achat à Nozha Aïn Sebaâ. Surface de 88 m²,88.0,casablanca,Casablanca
820000,Appartement neuf à vendre. 108m²,Appartement neuf à vendre. 108m²,108.0,casablanca,Casablanca
3100000,Vente d'un bel appartement à Ain Diab Extension. Superficie...,Vente d'un bel appartement à Ain Diab Extension. Superficie...,217.0,casablanca,Casablanca
1040000,Superbe appartement à vendre à Aïn Sebaâ. 3 chambres agréabl...,Superbe appartement à vendre à Aïn Sebaâ. 3 chambres agréabl...,100.0,casablanca,Casablanca
1090000,Studio premium à saisir,Studio premium à saisir,50.0,casablanca,Casablanca
1250000,Studio premium à saisir,Studio premium à saisir,52.0,casablanca,Casablanca
1350000,Studio premium avec terrasse,Studio premium avec terrasse,60.0,casablanca,Casablanca
1280000,Studio premium à saisir,Studio premium à saisir,47.0,casablanca,Casablanca
1730000,Appartement premium à saisir,Appartement premium à saisir,87.0,casablanca,Casablanca
1350000,Studio premium à saisir,Studio premium à saisir,57.0,casablanca,Casablanca
1180000,Studio premium à saisir,Studio premium à saisir,45.0,casablanca,Casablanca
1190000,Studio premium à saisir,Studio premium à saisir,45.0,casablanca,Casablanca
1250000,Studio premium tres bien meublé à saisir,Studio premium tres bien meublé à saisir,50.0,casablanca,Casablanca
1320000,Studio premium à saisir,Studio premium à saisir,49.0,casablanca,Casablanca
2500000,Superbe appartement au CIL proche Parc CFC,Superbe appartement au CIL proche Parc CFC,130.0,casablanca,Casablanca
1350000,Studio à vendre – Ferme Bretonne,Studio à vendre – Ferme Bretonne,48.0,casablanca,Casablanca
240000,Joli apart oulfa Charaf 2,Joli apart oulfa Charaf 2,40.0,casablanca,Casablanca
770000,Appartement à vendre à Roches Noires. 1 chambre. Parking et...,Appartement à vendre à Roches Noires. 1 chambre. Parking et...,49.0,casablanca,Casablanca
1950000,Appartement haut standing à jnane Californie,Appartement haut standing à jnane Californie,109.0,casablanca,Casablanca
3550000,Superbe appartement à vendre à Ain Diab Extension. 4 belles...,Superbe appartement à vendre à Ain Diab Extension. 4 belles...,270.0,casablanca,Casablanca
4600000,Superbe appartement à vendre à Anfa. Surface totale 169 m²,Superbe appartement à vendre à Anfa. Surface totale 169 m²,169.0,casablanca,Casablanca
725000,Appartement à vendre à Anfa. Surface totale 33 m². Terrasse...,Appartement à vendre à Anfa. Surface totale 33 m². Terrasse...,33.0,casablanca,Casablanca
1900000,Appartement en vente à Ain Diab Extension. Surface de 126 m²,Appartement en vente à Ain Diab Extension. Surface de 126 m²,126.0,casablanca,Casablanca
1900000,Studio premium à saisir,Studio premium à saisir,58.0,casablanca,Casablanca
1280000,Studio premium à saisir,Studio premium à saisir,45.0,casablanca,Casablanca
1300000,Studio premium à saisir,Studio premium à saisir,50.0,casablanca,Casablanca
1320000,Studio premium à saisir,Studio premium à saisir,54.0,casablanca,Casablanca
1280000,Studio premium avec terrasse,Studio premium avec terrasse,56.0,casablanca,Casablanca
2050250,Bel appartement à vendre à Californie. 3 belles chambres,Bel appartement à vendre à Californie. 3 belles chambres,133.0,casablanca,Casablanca
990641,Nozha Aïn Sebaâ. Bel appartement à vendre. 2 chambres,Nozha Aïn Sebaâ. Bel appartement à vendre. 2 chambres,77.0,casablanca,Casablanca
860000,Appartement à vendre à Sidi Moumen,Appartement à vendre à Sidi Moumen,98.0,casablanca,Casablanca
815000,Superbe appartement à vendre à Aïn Sebaâ. 2 belles chambres...,Superbe appartement à vendre à Aïn Sebaâ. 2 belles chambres...,81.0,casablanca,Casablanca
770000,Appartement à l'achat à Roches Noires. 1 chambre. Parking et...,Appartement à l'achat à Roches Noires. 1 chambre. Parking et...,49.0,casablanca,Casablanca
1350000,Studio haut standing a saisir,Studio haut standing a saisir,53.0,casablanca,Casablanca
1250000,Appartement a vendre a beauséjour ghandi,Appartement a vendre a beauséjour ghandi,100.0,casablanca,Casablanca
9000000,Villa Coup de cœur Californie,Villa Coup de cœur Californie,462.0,casablanca,Casablanca
20000000,Villa Style Provençal Californie,Villa Style Provençal Californie,1500.0,casablanca,Casablanca
3950000,Très bel appartement à vendre MAARIF EXTENSION,Très bel appartement à vendre MAARIF EXTENSION,250.0,casablanca,Casablanca
1400000,Studio avec terrasse etage eleve,Studio avec terrasse etage eleve,70.0,casablanca,Casablanca
1690000,Appartement à l'achat à Oasis. Surface de 94 m². Ascenseur e...,Appartement à l'achat à Oasis. Surface de 94 m². Ascenseur e...,94.0,casablanca,Casablanca
11000000,Magnifique villa à vendre à Sidi Maarouf. 5 grandes pièces...,Magnifique villa à vendre à Sidi Maarouf. 5 grandes pièces...,1150.0,casablanca,Casablanca
3200000,Vend appartement à Racine. 3 belles chambres. Cheminée et cl...,Vend appartement à Racine. 3 belles chambres. Cheminée et cl...,133.0,casablanca,Casablanca
22000000,Villa Commerciale de 985 m2 à Bd Dris Slaoui,Villa Commerciale de 985 m2 à Bd Dris Slaoui,985.0,casablanca,Casablanca
13000000,Villa de 1020 m2 à Califronie,Villa de 1020 m2 à Califronie,1020.0,casablanca,Casablanca
16000000,Villa Commerciale de 1350 m2 à Bd La Mecque,Villa Commerciale de 1350 m2 à Bd La Mecque,1350.0,casablanca,Casablanca
670000,Appartement en vente à Roches Noires. 2 pièces confortables...,Appartement en vente à Roches Noires. 2 pièces confortables...,37.0,casablanca,Casablanca
8000000,Villa de 550 m2 à Résidence sécurisée à Californie,Villa de 550 m2 à Résidence sécurisée à Californie,550.0,casablanca,Casablanca
969000,Superbe Appartement à Aïn Sebaâ. 3 chambres 2 Salles de bain,Superbe Appartement à Aïn Sebaâ. 3 chambres 2 Salles de bain,102.0,casablanca,Casablanca
4500000,Bel appartement à vendre à Anfa. Superficie 169 m²,Bel appartement à vendre à Anfa. Superficie 169 m²,169.0,casablanca,Casablanca
847000,Vend appartement à Anfa. Surface totale 42 m²,Vend appartement à Anfa. Surface totale 42 m²,42.0,casablanca,Casablanca
1900000,Vend appartement à Ain Diab Extension. Surface totale 126 m²,Vend appartement à Ain Diab Extension. Surface totale 126 m²,126.0,casablanca,Casablanca
1900000,Appartement premium à saisir,Appartement premium à saisir,96.0,casablanca,Casablanca
1420000,Studio premium à saisir,Studio premium à saisir,58.0,casablanca,Casablanca
13000000,Villa à vendre neuve à Tadart – Californie,Villa à vendre neuve à Tadart – Californie,680.0,casablanca,Casablanca
3230000,Exclusivite bel appartement vue mer,Exclusivite bel appartement vue mer,150.0,casablanca,Casablanca
3500000,Exclusivité: Appartement de standing CALIFORNIE,Exclusivité: Appartement de standing CALIFORNIE,200.0,casablanca,Casablanca
800000,Appartement neuf à vendre. 100m²,Appartement neuf à vendre. 100m²,100.0,casablanca,Casablanca
670000,Appartement en vente à Roches Noires. Surface de 37 m². Park...,Appartement en vente à Roches Noires. Surface de 37 m². Park...,37.0,casablanca,Casablanca
1304750,Beau F4 à vendre à Hay Hassani,Beau F4 à vendre à Hay Hassani,104.0,casablanca,Casablanca
1165000,Appartement à vendre à Palmier. Surface totale 48 m²,Appartement à vendre à Palmier. Surface totale 48 m²,48.0,casablanca,Casablanca
1330000,Studio avec grande terrasse plein sud– Oasis,Studio avec grande terrasse plein sud– Oasis,73.0,casablanca,Casablanca
1240000,Studio Neuf à vendre à Palmier,Studio Neuf à vendre à Palmier,55.0,casablanca,Casablanca
1350000,Appartements NEUFS à Vendre à PALMIERS,Appartements NEUFS à Vendre à PALMIERS,57.0,casablanca,Casablanca
1250000,Studio premium à saisir,Studio premium à saisir,59.0,casablanca,Casablanca
1220000,Studio premium avec terrasse,Studio premium avec terrasse,65.0,casablanca,Casablanca
1280000,Appartement à l'achat à Casablanca Finance City. Surface de...,Appartement à l'achat à Casablanca Finance City. Surface de...,56.0,casablanca,Casablanca
468000,Studio de 39 à vendre à ain sebaa,Studio de 39 à vendre à ain sebaa,40.0,casablanca,Casablanca
1150000,Studios à vendre à gauthier investissement,Studios à vendre à gauthier investissement,42.0,casablanca,Casablanca
3300000,A vendre 3 Chambres avec terrasse etg elevéRacine,A vendre 3 Chambres avec terrasse etg elevéRacine,175.0,casablanca,Casablanca
670000,Appartement en vente à Roches Noires. 1 belle chambre. Jardi...,Appartement en vente à Roches Noires. 1 belle chambre. Jardi...,37.0,casablanca,Casablanca
30000000,Villa Commerciale de 1622 m2 à Bd Ghandi,Villa Commerciale de 1622 m2 à Bd Ghandi,1622.0,casablanca,Casablanca
1150000,Vente d'un bel appartement à Anfa. 1 belle chambre. Salon...,Vente d'un bel appartement à Anfa. 1 belle chambre. Salon...,40.0,casablanca,Casablanca
1350000,Vente d'un bel appartement à Les princesses. 1 Pièce. Porte...,Vente d'un bel appartement à Les princesses. 1 Pièce. Porte...,88.0,casablanca,Casablanca
1120000,Bel appartement à vendre à Oasis. 1 Pièce. Bien meublé,Bel appartement à vendre à Oasis. 1 Pièce. Bien meublé,50.0,casablanca,Casablanca
1100000,Vend appartement à Palmier. Surface de 59 m². Air conditionn...,Vend appartement à Palmier. Surface de 59 m². Air conditionn...,59.0,casablanca,Casablanca
900000,Bel appartement à vendre à Oasis. 1 chambre. Antenne parabol...,Bel appartement à vendre à Oasis. 1 chambre. Antenne parabol...,40.0,casablanca,Casablanca
4350000,Appartement en vente à Anfa. Surface de 173 m²,Appartement en vente à Anfa. Surface de 173 m²,173.0,casablanca,Casablanca
935000,Superbe appartement à vendre à Ain Diab Extension. 1 belle c...,Superbe appartement à vendre à Ain Diab Extension. 1 belle c...,48.0,casablanca,Casablanca
2800000,Appartement à vendre à Ain Diab Extension. Surface de 204 m²,Appartement à vendre à Ain Diab Extension. Surface de 204 m²,204.0,casablanca,Casablanca
2350000,EXCLUSIVITE_Bel appartement en étage élevé,EXCLUSIVITE_Bel appartement en étage élevé,120.0,casablanca,Casablanca
1260000,Studio premium à saisir,Studio premium à saisir,57.0,casablanca,Casablanca
1280000,Studio premium à saisir,Studio premium à saisir,56.0,casablanca,Casablanca
1500000,Appartement de 80m bien orienté à l'oasis,Appartement de 80m bien orienté à l'oasis,80.0,casablanca,Casablanca
6500000,Magnifique appartement moderne,Magnifique appartement moderne,260.0,casablanca,Casablanca
928903,Appartement à l'achat à Aïn Sebaâ. 2 belles chambres. Parkin...,Appartement à l'achat à Aïn Sebaâ. 2 belles chambres. Parkin...,72.0,casablanca,Casablanca
675000,Appartement 84m² à vendre à Sidi Moumen,Appartement 84m² à vendre à Sidi Moumen,84.0,casablanca,Casablanca
670000,Appartement en vente à Roches Noires. 2 grandes pièces. Conc...,Appartement en vente à Roches Noires. 2 grandes pièces. Conc...,37.0,casablanca,Casablanca
1269360,Un 99m2 neuf à vendre en plein Casablanca,Un 99m2 neuf à vendre en plein Casablanca,99.0,casablanca,Casablanca
1300000,Superbe appartement à vendre à Palmier. 2 chambres,Superbe appartement à vendre à Palmier. 2 chambres,61.0,casablanca,Casablanca
3300000,À vendre 3 chambres avec grandes terrasses gauthie,À vendre 3 chambres avec grandes terrasses gauthie,215.0,casablanca,Casablanca
3000000,À vendre 4 chambres à rénover complètement 9eme avec vue,À vendre 4 chambres à rénover complètement 9eme avec vue,225.0,casablanca,Casablanca
2180000,"En Vente Appartements 2 chambres à partir de 2,25 MDH et et...","En Vente Appartements 2 chambres à partir de 2,25 MDH et et...",86.0,casablanca,Casablanca
1000000,Vente d'un bel appartement à Bourgogne Ouest. Superficie 100...,Vente d'un bel appartement à Bourgogne Ouest. Superficie 100...,100.0,casablanca,Casablanca
2650000,Coup de cœur Traversant Moderne et lumineux,Coup de cœur Traversant Moderne et lumineux,158.0,casablanca,Casablanca
4690000,Exclusivité RUE MOZART Prestigieux duplex dernier étage,Exclusivité RUE MOZART Prestigieux duplex dernier étage,279.0,casablanca,Casablanca
1550000,Appartement premium a saisir,Appartement premium a saisir,68.0,casablanca,Casablanca
